list_name,name,label,q101_country,q102_state,q103_district
subDistrict,TilathiKoiladi ,Tilathi Koiladi ,Nepal,State_2,Saptari
subDistrict,Tirahut ,Tirahut ,Nepal,State_2,Saptari
subDistrict,Bagmati ,Bagmati ,Nepal,State_2,Sarlahi
subDistrict,Balara ,Balara ,Nepal,State_2,Sarlahi
subDistrict,Barahathawa ,Barahathawa ,Nepal,State_2,Sarlahi
subDistrict,Basbariya,Basbariya,Nepal,State_2,Sarlahi
subDistrict,Bishnu ,Bishnu ,Nepal,State_2,Sarlahi
subDistrict,Bramhapuri ,Bramhapuri ,Nepal,State_2,Sarlahi
subDistrict,Chakraghatta ,Chakraghatta ,Nepal,State_2,Sarlahi
subDistrict,Chandranagar ,Chandranagar ,Nepal,State_2,Sarlahi
subDistrict,Dhankaul ,Dhankaul ,Nepal,State_2,Sarlahi
subDistrict,Gaudeta ,Gaudeta ,Nepal,State_2,Sarlahi
subDistrict,Haripur ,Haripur ,Nepal,State_2,Sarlahi
subDistrict,Haripurwa ,Haripurwa ,Nepal,State_2,Sarlahi
subDistrict,Hariwan ,Hariwan ,Nepal,State_2,Sarlahi
subDistrict,Ishworpur ,Ishworpur ,Nepal,State_2,Sarlahi
subDistrict,Kabilasi ,Kabilasi ,Nepal,State_2,Sarlahi
subDistrict,Kaudena,Kaudena,Nepal,State_2,Sarlahi
subDistrict,Lalbandi ,Lalbandi ,Nepal,State_2,Sarlahi
subDistrict,Malangawa ,Malangawa ,Nepal,State_2,Sarlahi
subDistrict,Parsa,Parsa,Nepal,State_2,Sarlahi
subDistrict,Ramnagar ,Ramnagar ,Nepal,State_2,Sarlahi
subDistrict,Arnama ,Arnama ,Nepal,State_2,Siraha
subDistrict,Aurahi ,Aurahi ,Nepal,State_2,Siraha
subDistrict,Bariyarpatti ,Bariyarpatti ,Nepal,State_2,Siraha
subDistrict,Bhagawanpur ,Bhagawanpur ,Nepal,State_2,Siraha
subDistrict,Bishnupur ,Bishnupur ,Nepal,State_2,Siraha
subDistrict,Dhangadhimai ,Dhangadhimai ,Nepal,State_2,Siraha
subDistrict,Golbazar ,Golbazar ,Nepal,State_2,Siraha
subDistrict,Kalyanpur ,Kalyanpur ,Nepal,State_2,Siraha
subDistrict,Karjanhya ,Karjanhya ,Nepal,State_2,Siraha
subDistrict,Lahan ,Lahan ,Nepal,State_2,Siraha
subDistrict,LaxmipurPatari ,Laxmipur Patari ,Nepal,State_2,Siraha
subDistrict,Mirchaiya ,Mirchaiya ,Nepal,State_2,Siraha
subDistrict,Naraha ,Naraha ,Nepal,State_2,Siraha
subDistrict,Nawarajpur ,Nawarajpur ,Nepal,State_2,Siraha
subDistrict,Sakhuwanankarkatti,Sakhuwanan karkatti,Nepal,State_2,Siraha
subDistrict,Siraha ,Siraha ,Nepal,State_2,Siraha
subDistrict,Sukhipur ,Sukhipur ,Nepal,State_2,Siraha
subDistrict,Barah ,Barah ,Nepal,State_1,Sunsari
subDistrict,Barju ,Barju ,Nepal,State_1,Sunsari
subDistrict,Bhokraha ,Bhokraha ,Nepal,State_1,Sunsari
subDistrict,Dewanganj ,Dewanganj ,Nepal,State_1,Sunsari
subDistrict,Dharan,Dharan,Nepal,State_1,Sunsari
subDistrict,Duhabi ,Duhabi ,Nepal,State_1,Sunsari
subDistrict,Gadhi ,Gadhi ,Nepal,State_1,Sunsari
subDistrict,Harinagara ,Harinagara ,Nepal,State_1,Sunsari
subDistrict,Inaruwa ,Inaruwa ,Nepal,State_1,Sunsari
subDistrict,Itahari ,Itahari ,Nepal,State_1,Sunsari
subDistrict,Koshi ,Koshi ,Nepal,State_1,Sunsari
subDistrict,Ramdhuni ,Ramdhuni ,Nepal,State_1,Sunsari
