var_key
Aditya
Baaz
Bhrikuti
Binayak
BL 4341
CBW38
Dhaulagiri
DBW14
DBW17
DPW621_50
Gautam
HD2733
HD2824
HD2967
HD2985
HD3059
HD3086
HD3118
HI1563
HUW234
HW2045
K2888
K307
K9107
Kedar
Kundan
KW412
Local
LOK1
NL1
NL2
NL3
NL297
NL971
NW1012
NW2036
PBW154
PBW167
PBW2076
PBW343
PBW373
PBW443
PBW502
PBW550
Prachanda
RR21
SabourNirjal
SabourSamriddhi
SabourShresth
SUPER172
SUPER303
Swargadwari
UP262
UP306
Vijay
WH711
WH1105
WK1204
WR544
Other
Agahani
Ankur
Arize6120
Arize6129
Arize6444
Arize6444Gold
Basmati
BH21
BhagalpurKatarni
Bhagwan
BPT5204
BPT5207
Chaite4
Dhanrekha
Dhanwan
Dhanya775
Diamond
DKC835
DY69
GangaKaveri_MTU7029
Gangotri
Garima
Golden_MTU7029
GoldenSambha_BPT5204
Gorakhnath
Hardinath
Janaki
Jaya
Jhapa
JK2082_hybrid
JK401_hybrid
Kaberi
KalaNamak
Khajura
KP108
Kranti
Laxmi
Loknath
Maheen
Maina
Mansuri_MTU7029
MiniMansuri_MTU7029
Moti
MotiGold
MTU1001
MTU1010
MTU52
MTU7026
MTU7027
MTU7029
Nano_hybrid
NHR31_hybrid
NK5251_hybrid
PAC835_hybrid
PHB71_hybrid
PHB72_hybrid
Pioneer27P31_hybrid
Pioneer27P63_hybrid
Poonam
Prabhat
Prasanna
PusaSugandh5
R20
Radha4
Radha9
Radhika
RajendraBhagwati
RajendraKasturi
RajendraMansoori1
RajendraSaraswati
RajendraShweta
RajendraSuhasini
Ramdhan
Ranjit
RHM406
Sabitri
SabourArdhjal
SabourDeep
SabourHarshit
SabourSampann
SabourShri
SabourSurbhit
Sahabhagi
Sampada
Sampoorna
Sankar_hybrid
Sarju52
Sarwada
ShriRam505
ShushkSamrat
Silki
Sonali
Sonam
SpeedCrystal_hybrid
Sudha
Sukkha1
Sukkha2
Sukkha3
Sukkha4
SuperMoti
SupremeSona
Suryamukhi
Swanam
SwarnaSub1
Tez_Arize_hybrid
Upaj
US312
US382
Binadhan10
Binadhan11
Binadhan12
Binadhan13
Binadhan14
Binadhan15
Binadhan16
Binadhan17GSR
Binadhan18
Binadhan4
Binadhan5
Binadhan6
Binadhan7
Binadhan8
Binadhan9
Binasail
BR1
BR10
BR11
BR12
BR14
BR15
BR16
BR18
BR19
BR2
BR20
BR21
BR22
BR23
BR24
BR25
BR26
BR3
BR4
BR5
BR7
BR8
BR9
BRRIDhan27
BRRIDhan28
BRRIDhan29
BRRIDhan30
BRRIDhan31
BRRIDhan32
BRRIDhan33
BRRIDhan34
BRRIDhan39
BRRIDhan40
BRRIDhan41
BRRIDhan42
BRRIDhan43
BRRIDhan44
BRRIDhan45
BRRIDhan46
BRRIDhan47
BRRIDhan48
BRRIDhan49
BRRIDhan50
BRRIDhan51
BRRIDhan52
BRRIDhan56
BRRIDhan58
BRRIDhan62
Iratom24
Minikit
SL8
Subolata
Other
