"list_name","name","label","Hub","District","Block_VDC"
"Block_VDCs","Baripada","Baripada","Odisha","Mayurbhanj",""
"Block_VDCs","Betnoti","Betnoti","Odisha","Mayurbhanj",""
"Block_VDCs","Bijatala","Bijatala","Odisha","Mayurbhanj",""
"Block_VDCs","Bisoi","Bisoi","Odisha","Mayurbhanj",""
"Block_VDCs","Gopabandhungar","Gopabandhungar","Odisha","Mayurbhanj",""
"Block_VDCs","Jamda","Jamda","Odisha","Mayurbhanj",""
"Block_VDCs","Jashipur","Jashipur","Odisha","Mayurbhanj",""
"Block_VDCs","Kaptipada","Kaptipada","Odisha","Mayurbhanj",""
"Block_VDCs","Karanjia","Karanjia","Odisha","Mayurbhanj",""
"Block_VDCs","Khunta","Khunta","Odisha","Mayurbhanj",""
"Block_VDCs","Kuliana","Kuliana","Odisha","Mayurbhanj",""
"Block_VDCs","Kusumi","Kusumi","Odisha","Mayurbhanj",""
"Block_VDCs","Moroda","Moroda","Odisha","Mayurbhanj",""
"Block_VDCs","Rairangpur","Rairangpur","Odisha","Mayurbhanj",""
"Block_VDCs","Raruan","Raruan","Odisha","Mayurbhanj",""
"Block_VDCs","Rasgovindpur","Rasgovindpur","Odisha","Mayurbhanj",""
"Block_VDCs","Saraskana","Saraskana","Odisha","Mayurbhanj",""
"Block_VDCs","Shamakhunta","Shamakhunta","Odisha","Mayurbhanj",""
"Block_VDCs","Sukruli","Sukruli","Odisha","Mayurbhanj",""
"Block_VDCs","Suliapada","Suliapada","Odisha","Mayurbhanj",""
"Block_VDCs","Thakurmunda","Thakurmunda","Odisha","Mayurbhanj",""
"Block_VDCs","Tiring","Tiring","Odisha","Mayurbhanj",""
"Block_VDCs","Udala","Udala","Odisha","Mayurbhanj",""
"Block_VDCs","Astarang","Astarang","Odisha","Puri",""
"Block_VDCs","Brahmagiri","Brahmagiri","Odisha","Puri",""
"Block_VDCs","Delanga","Delanga","Odisha","Puri",""
"Block_VDCs","Gop","Gop","Odisha","Puri",""
"Block_VDCs","Kakatpur","Kakatpur","Odisha","Puri",""
"Block_VDCs","Kanasa","Kanasa","Odisha","Puri",""
"Block_VDCs","KrushnaPrasad","Krushna Prasad","Odisha","Puri",""
"Block_VDCs","Nimapara","Nimapara","Odisha","Puri",""
"Block_VDCs","Pipili","Pipili","Odisha","Puri",""
"Block_VDCs","PuriSadar","Puri Sadar","Odisha","Puri",""
"Block_VDCs","Satyabadi","Satyabadi","Odisha","Puri",""
"Block_VDCs","Bageswari","Bageswari","Nepal","Banke",""
"Block_VDCs","Bankatawa","Bankatawa","Nepal","Banke",""
"Block_VDCs","Banakatti","Banakatti","Nepal","Banke",""
"Block_VDCs","Basudevpur","Basudevpur","Nepal","Banke",""
"Block_VDCs","Bejapur","Bejapur","Nepal","Banke",""
"Block_VDCs","Belahari","Belahari","Nepal","Banke",""
