"list_name","name","label","Hub","District","Block"
"Blocks","Manjha","Manjha","Bihar","Gopalganj",""
"Blocks","Panchdevari","Panchdevari","Bihar","Gopalganj",""
"Blocks","Phulwaria","Phulwaria","Bihar","Gopalganj",""
"Blocks","Sidhwalia","Sidhwalia","Bihar","Gopalganj",""
"Blocks","Thawe","Thawe","Bihar","Gopalganj",""
"Blocks","Uchkagaon","Uchkagaon","Bihar","Gopalganj",""
"Blocks","Vijaipur","Vijaipur","Bihar","Gopalganj",""
"Blocks","Barahia","Barahia","Bihar","Lakhisarai",""
"Blocks","Channan","Channan","Bihar","Lakhisarai",""
"Blocks","Halsi","Halsi","Bihar","Lakhisarai",""
"Blocks","Lakhisarai","Lakhisarai","Bihar","Lakhisarai",""
"Blocks","Piparia","Piparia","Bihar","Lakhisarai",""
"Blocks","RamgarhChowk","Ramgarh Chowk","Bihar","Lakhisarai",""
"Blocks","Suryagarha","Suryagarha","Bihar","Lakhisarai",""
"Blocks","Sahebganj","Sahebganj","Bihar","Muzaffarpur",""
"Blocks","Motipur","Motipur","Bihar","Muzaffarpur",""
"Blocks","Paroo","Paroo","Bihar","Muzaffarpur",""
"Blocks","Saraiya","Saraiya","Bihar","Muzaffarpur",""
"Blocks","Kurhani","Kurhani","Bihar","Muzaffarpur",""
"Blocks","Kanti","Kanti","Bihar","Muzaffarpur",""
"Blocks","Marwan","Marwan","Bihar","Muzaffarpur",""
"Blocks","Minapur","Minapur","Bihar","Muzaffarpur",""
"Blocks","Mushahari","Mushahari","Bihar","Muzaffarpur",""
"Blocks","Bochahan","Bochahan","Bihar","Muzaffarpur",""
"Blocks","Aurai","Aurai","Bihar","Muzaffarpur",""
"Blocks","Katara","Katara","Bihar","Muzaffarpur",""
"Blocks","Gaighat","Gaighat","Bihar","Muzaffarpur",""
"Blocks","Muraul","Muraul","Bihar","Muzaffarpur",""
"Blocks","Sakra","Sakra","Bihar","Muzaffarpur",""
"Blocks","Bandra","Bandra","Bihar","Muzaffarpur",""
"Blocks","Athmalgola","Athmalgola","Bihar","Patna",""
"Blocks","Bakhtiarpur","Bakhtiarpur","Bihar","Patna",""
"Blocks","Barh","Barh","Bihar","Patna",""
"Blocks","Belchhi ","Belchhi ","Bihar","Patna",""
"Blocks","Bihta","Bihta","Bihar","Patna",""
"Blocks","Bikram","Bikram","Bihar","Patna",""
"Blocks","Danapur","Danapur","Bihar","Patna",""
"Blocks","Daniyawaan","Daniyawaan","Bihar","Patna",""
"Blocks","Dhanarua","Dhanarua","Bihar","Patna",""
"Blocks","DulhinBazar","Dulhin Bazar","Bihar","Patna",""
"Blocks","Fatuha","Fatuha","Bihar","Patna",""
"Blocks","Ghoswari","Ghoswari","Bihar","Patna",""
"Blocks","Khusrupur","Khusrupur","Bihar","Patna",""
"Blocks","Maner","Maner","Bihar","Patna",""
"Blocks","Masaurhi","Masaurhi","Bihar","Patna",""
"Blocks","Mokama","Mokama","Bihar","Patna",""
"Blocks","Naubatpur","Naubatpur","Bihar","Patna",""
"Blocks","Paliganj","Paliganj","Bihar","Patna",""
"Blocks","Pandarak","Pandarak","Bihar","Patna",""
"Blocks","PatnaSadar","Patna Sadar","Bihar","Patna",""
"Blocks","PhulwariSharif","Phulwari Sharif","Bihar","Patna",""
"Blocks","Punpun","Punpun","Bihar","Patna",""
"Blocks","Sampatchak","Sampatchak","Bihar","Patna",""
"Blocks","Akorhigola","Akorhigola","Bihar","Rohtas",""
"Blocks","Bikramganj","Bikramganj","Bihar","Rohtas",""
"Blocks","Chenari","Chenari","Bihar","Rohtas",""
"Blocks","Dawath","Dawath","Bihar","Rohtas",""
"Blocks","Dehri","Dehri","Bihar","Rohtas",""
"Blocks","Dinara","Dinara","Bihar","Rohtas",""
"Blocks","Karakat","Karakat","Bihar","Rohtas",""
"Blocks","Kargahar","Kargahar","Bihar","Rohtas",""
"Blocks","Kochas","Kochas","Bihar","Rohtas",""
"Blocks","Nasriganj","Nasriganj","Bihar","Rohtas",""
"Blocks","Nauhatta","Nauhatta","Bihar","Rohtas",""
"Blocks","Nokha","Nokha","Bihar","Rohtas",""
"Blocks","Rajpur","Rajpur","Bihar","Rohtas",""
"Blocks","Rohtas","Rohtas","Bihar","Rohtas",""
"Blocks","Sanjhauli","Sanjhauli","Bihar","Rohtas",""
"Blocks","Sasaram","Sasaram","Bihar","Rohtas",""
"Blocks","Sheosagar","Sheosagar","Bihar","Rohtas",""
"Blocks","Surajpura","Surajpura","Bihar","Rohtas",""
"Blocks","Tilouthu","Tilouthu","Bihar","Rohtas",""
"Blocks","Kalyanpur","Kalyanpur","Bihar","Samastipur",""
"Blocks","Warisnagar","Warisnagar","Bihar","Samastipur",""
"Blocks","Khanpur","Khanpur","Bihar","Samastipur",""
"Blocks","Samastipur","Samastipur","Bihar","Samastipur",""
"Blocks","Pusa","Pusa","Bihar","Samastipur",""
"Blocks","Tajpur","Tajpur","Bihar","Samastipur",""
"Blocks","Morwa","Morwa","Bihar","Samastipur",""
"Blocks","Sarairanjan","Sarairanjan","Bihar","Samastipur",""
"Blocks","Patori","Patori","Bihar","Samastipur",""
"Blocks","Mohanpur","Mohanpur","Bihar","Samastipur",""
"Blocks","Mohiuddinnagar","Mohiuddinnagar","Bihar","Samastipur",""
"Blocks","Vidyapatinagar","Vidyapatinagar","Bihar","Samastipur",""
"Blocks","Dalsingsarai","Dalsingsarai","Bihar","Samastipur",""
"Blocks","Ujiyarpur","Ujiyarpur","Bihar","Samastipur",""
"Blocks","Bibhutipur","Bibhutipur","Bihar","Samastipur",""
"Blocks","Rosera","Rosera","Bihar","Samastipur",""
"Blocks","Shivajeenagar","Shivajeenagar","Bihar","Samastipur",""
"Blocks","Singhia","Singhia","Bihar","Samastipur",""
"Blocks","Hasanpur","Hasanpur","Bihar","Samastipur",""
"Blocks","Bithan","Bithan","Bihar","Samastipur",""
