list_name,name,label,q101_country,q102_state,q103_district
district,Nadia,Nadia,India,WestBengal,
district,North24Parganas,North 24 Parganas,India,WestBengal,
district,Puruliya,Puruliya,India,WestBengal,
district,South24Parganas,South 24 Parganas,India,WestBengal,
district,UttarDinajpur,Uttar Dinajpur,India,WestBengal,
,,,,,
district,Barisal,Barisal,Bangladesh,Barisal,
district,Bhola,Bhola,Bangladesh,Barisal,
district,Borgona,Borgona,Bangladesh,Barisal,
district,Jhalokati,Jhalokati,Bangladesh,Barisal,
district,Pirojpur,Pirojpur,Bangladesh,Barisal,
district,Potuakhali,Potuakhali,Bangladesh,Barisal,
district,Dinajpur,Dinajpur,Bangladesh,Dinajpur,
district,Lalmonirhat,Lalmonirhat,Bangladesh,Dinajpur,
district,Nilphamari,Nilphamari,Bangladesh,Dinajpur,
district,Rongpur,Rongpur,Bangladesh,Dinajpur,
district,Thakurgaon,Thakurgaon,Bangladesh,Dinajpur,
district,Faridpur,Faridpur,Bangladesh,Faridpur,
district,Gopalgonj,Gopalgonj,Bangladesh,Faridpur,
district,Madaripur,Madaripur,Bangladesh,Faridpur,
district,Rajbari,Rajbari,Bangladesh,Faridpur,
district,Bagerhat,Bagerhat,Bangladesh,Jessore,
district,Chuadanga,Chuadanga,Bangladesh,Jessore,
district,Jessore,Jessore,Bangladesh,Jessore,
district,Jhenaidah,Jhenaidah,Bangladesh,Jessore,
district,Khulna,Khulna,Bangladesh,Jessore,
district,Magura,Magura,Bangladesh,Jessore,
district,Meherpur,Meherpur,Bangladesh,Jessore,
district,Narail,Narail,Bangladesh,Jessore,
district,Shatkhira,Shatkhira,Bangladesh,Jessore,
,,,,,
district,Banke,Banke,Nepal,State_5,
district,Bara,Bara,Nepal,State_2,
district,Bardiya,Bardiya,Nepal,State_5,
district,Chitwan,Chitwan,Nepal,State_3,
district,Dhanusha,Dhanusha,Nepal,State_2,
district,Jhapa,Jhapa,Nepal,State_1,
district,Kailali,Kailali,Nepal,State_7,
district,Kanchanpur,Kanchanpur,Nepal,State_7,
district,Kapilbastu,Kapilbastu,Nepal,State_5,
district,Mahottari,Mahottari,Nepal,State_2,
district,Morang,Morang,Nepal,State_1,
district,Nawalparasi,Nawalparasi,Nepal,State_5,
district,Parsa,Parsa,Nepal,State_2,
district,Rautahat,Rautahat,Nepal,State_2,
district,Rupandehi,Rupandehi,Nepal,State_5,
district,Saptari,Saptari,Nepal,State_2,
district,Sarlahi,Sarlahi,Nepal,State_2,
district,Siraha,Siraha,Nepal,State_2,
district,Sunsari,Sunsari,Nepal,State_1,
,,,,,
,,,,,
subDistrict,Agali,Agali,India,AndhraPradesh,Anantapur
subDistrict,Amadagur,Amadagur,India,AndhraPradesh,Anantapur
subDistrict,Amarapuram,Amarapuram,India,AndhraPradesh,Anantapur
subDistrict,Anantapur,Anantapur,India,AndhraPradesh,Anantapur
subDistrict,Atmakur1,Atmakur1,India,AndhraPradesh,Anantapur
subDistrict,Bathalapalle,Bathalapalle,India,AndhraPradesh,Anantapur
subDistrict,Beluguppa,Beluguppa,India,AndhraPradesh,Anantapur
subDistrict,Bommanahal,Bommanahal,India,AndhraPradesh,Anantapur
subDistrict,Brahmasamudram,Brahmasamudram,India,AndhraPradesh,Anantapur
subDistrict,Bukkapatnam,Bukkapatnam,India,AndhraPradesh,Anantapur
subDistrict,BukkarayaSamudram,Bukkaraya  Samudram,India,AndhraPradesh,Anantapur
subDistrict,Chennekothapalle,Chennekothapalle,India,AndhraPradesh,Anantapur
subDistrict,Chilamathur,Chilamathur,India,AndhraPradesh,Anantapur
subDistrict,DHirehal,D.Hirehal,India,AndhraPradesh,Anantapur
subDistrict,Dharmavaram,Dharmavaram,India,AndhraPradesh,Anantapur
subDistrict,Gandlapenta,Gandlapenta,India,AndhraPradesh,Anantapur
subDistrict,Garladinne,Garladinne,India,AndhraPradesh,Anantapur
subDistrict,Gooty,Gooty,India,AndhraPradesh,Anantapur
subDistrict,Gorantla,Gorantla,India,AndhraPradesh,Anantapur
subDistrict,Gudibanda,Gudibanda,India,AndhraPradesh,Anantapur
subDistrict,Gummagatta,Gummagatta,India,AndhraPradesh,Anantapur
subDistrict,Guntakal,Guntakal,India,AndhraPradesh,Anantapur
subDistrict,Hindupur,Hindupur,India,AndhraPradesh,Anantapur
